aar;bosted;innvandringsgrunn;botid_i_alt;kort_botid_5_ar;lang_botid_5_ar
2025;09 Bjerke;Familie, referanseperson annet;1681;325;1356
2025;09 Bjerke;Familie;1723;679;1044
2025;09 Bjerke;Flukt;2045;324;1721
2025;09 Bjerke;Utdanning;494;115;379
2025;09 Bjerke;Andre grunner;48;11;37
2025;09 Bjerke;Uoppgitt innvandringsgrunn;495;230;265
2025;09 Bjerke;Uten innvandringsgrunn;1805;120;1685
2025;10 Grorud;Alle innvandringsgrunner;11032;1898;9134
2025;10 Grorud;Arbeid;1720;525;1195
2025;10 Grorud;Familie, referanseperson flukt;1321;85;1236
2025;10 Grorud;Familie, referanseperson annet;1678;280;1398
2025;10 Grorud;Familie;1474;520;954
2025;10 Grorud;Flukt;2206;208;1998
2025;10 Grorud;Utdanning;417;60;357
2025;10 Grorud;Andre grunner;32;13;19
2025;10 Grorud;Uoppgitt innvandringsgrunn;350;138;212
2025;10 Grorud;Uten innvandringsgrunn;1834;69;1765
2025;11 Stovner;Alle innvandringsgrunner;14751;2721;12030
2025;11 Stovner;Arbeid;2139;794;1345
2025;11 Stovner;Familie, referanseperson flukt;2008;192;1816
2025;11 Stovner;Familie, referanseperson annet;2206;330;1876
2025;11 Stovner;Familie;1904;719;1185
2025;11 Stovner;Flukt;2913;298;2615
2025;11 Stovner;Utdanning;365;108;257
2025;11 Stovner;Andre grunner;41;6;35
2025;11 Stovner;Uoppgitt innvandringsgrunn;408;181;227
2025;11 Stovner;Uten innvandringsgrunn;2767;93;2674
2025;12 Alna;Alle innvandringsgrunner;19668;3242;16426
2025;12 Alna;Arbeid;3008;928;2080
2025;12 Alna;Familie, referanseperson flukt;2156;166;1990
2025;12 Alna;Familie, referanseperson annet;3141;451;2690
2025;12 Alna;Familie;2475;864;1611
2025;12 Alna;Flukt;3722;346;3376
2025;12 Alna;Utdanning;673;133;540
2025;12 Alna;Andre grunner;81;21;60
2025;12 Alna;Uoppgitt innvandringsgrunn;516;225;291
2025;12 Alna;Uten innvandringsgrunn;3896;108;3788
2025;13 Østensjø;Alle innvandringsgrunner;10955;2275;8680
2025;13 Østensjø;Arbeid;2323;609;1714
2025;13 Østensjø;Familie, referanseperson flukt;784;74;710
2025;13 Østensjø;Familie, referanseperson annet;1417;265;1152
2025;13 Østensjø;Familie;1406;455;951
2025;13 Østensjø;Flukt;2011;525;1486
2025;13 Østensjø;Utdanning;553;106;447
2025;13 Østensjø;Andre grunner;46;13;33
2025;13 Østensjø;Uoppgitt innvandringsgrunn;473;117;356
2025;13 Østensjø;Uten innvandringsgrunn;1942;111;1831
2025;14 Nordstrand;Alle innvandringsgrunner;8897;2178;6719
2025;14 Nordstrand;Arbeid;2191;680;1511
2025;14 Nordstrand;Familie, referanseperson flukt;412;57;355
2025;14 Nordstrand;Familie, referanseperson annet;778;161;617
2025;14 Nordstrand;Familie;1197;362;835
2025;14 Nordstrand;Flukt;1394;415;979
2025;14 Nordstrand;Utdanning;478;130;348
2025;14 Nordstrand;Andre grunner;49;16;33
2025;14 Nordstrand;Uoppgitt innvandringsgrunn;685;199;486
2025;14 Nordstrand;Uten innvandringsgrunn;1713;158;1555
2025;15 Søndre Nordstrand;Alle innvandringsgrunner;15649;2493;13156
2025;15 Søndre Nordstrand;Arbeid;2334;712;1622
2025;15 Søndre Nordstrand;Familie, referanseperson flukt;1674;147;1527
2025;15 Søndre Nordstrand;Familie, referanseperson annet;2236;267;1969
2025;15 Søndre Nordstrand;Familie;2194;716;1478
2025;15 Søndre Nordstrand;Flukt;2618;260;2358
2025;15 Søndre Nordstrand;Utdanning;465;88;377
2025;15 Søndre Nordstrand;Andre grunner;69;12;57
2025;15 Søndre Nordstrand;Uoppgitt innvandringsgrunn;531;210;321
2025;15 Søndre Nordstrand;Uten innvandringsgrunn;3528;81;3447
2025;99 Sentrum, Marka og uten registrert adresse;Alle innvandringsgrunner;2215;750;1465
2025;99 Sentrum, Marka og uten registrert adresse;Arbeid;814;343;471
2025;99 Sentrum, Marka og uten registrert adresse;Familie, referanseperson flukt;123;3;120
2025;99 Sentrum, Marka og uten registrert adresse;Familie, referanseperson annet;165;34;131
2025;99 Sentrum, Marka og uten registrert adresse;Familie;232;102;130
2025;99 Sentrum, Marka og uten registrert adresse;Flukt;363;65;298
2025;99 Sentrum, Marka og uten registrert adresse;Utdanning;91;45;46
2025;99 Sentrum, Marka og uten registrert adresse;Andre grunner;15;7;8
2025;99 Sentrum, Marka og uten registrert adresse;Uoppgitt innvandringsgrunn;156;113;43
2025;99 Sentrum, Marka og uten registrert adresse;Uten innvandringsgrunn;256;38;218
