aar;geografi;alder;kjoenn;andel_sysselsatte;antall_sysselsatte;bosatte_totalt
2024;Godlia;50-59 år;Begge kjønn;84.3;1081;1283
2024;Godlia;50-59 år;Kvinne;83.0;511;616
2024;Godlia;50-59 år;Mann;85.5;570;667
2024;Godlia;60-74 år;Begge kjønn;42.7;566;1325
2024;Godlia;60-74 år;Kvinne;38.5;252;654
2024;Godlia;60-74 år;Mann;46.8;314;671
2024;Oppsal;Alder i alt;Begge kjønn;74.1;6361;8579
2024;Oppsal;Alder i alt;Kvinne;72.9;3319;4555
2024;Oppsal;Alder i alt;Mann;75.6;3042;4024
2024;Oppsal;15-24 år;Begge kjønn;46.0;557;1212
2024;Oppsal;15-24 år;Kvinne;47.7;275;577
2024;Oppsal;15-24 år;Mann;44.4;282;635
2024;Oppsal;25-39 år;Begge kjønn;87.9;2299;2616
2024;Oppsal;25-39 år;Kvinne;87.3;1220;1398
2024;Oppsal;25-39 år;Mann;88.6;1079;1218
2024;Oppsal;40-49 år;Begge kjønn;88.0;1528;1736
2024;Oppsal;40-49 år;Kvinne;86.1;808;938
2024;Oppsal;40-49 år;Mann;90.2;720;798
2024;Oppsal;50-59 år;Begge kjønn;86.0;1357;1578
2024;Oppsal;50-59 år;Kvinne;84.8;717;846
2024;Oppsal;50-59 år;Mann;87.4;640;732
2024;Oppsal;60-74 år;Begge kjønn;43.1;620;1437
2024;Oppsal;60-74 år;Kvinne;37.6;299;796
2024;Oppsal;60-74 år;Mann;50.1;321;641
2024;Bøler;Alder i alt;Begge kjønn;71.7;4519;6306
2024;Bøler;Alder i alt;Kvinne;70.7;2283;3231
2024;Bøler;Alder i alt;Mann;72.7;2236;3075
2024;Bøler;15-24 år;Begge kjønn;46.6;413;887
2024;Bøler;15-24 år;Kvinne;49.2;204;415
2024;Bøler;15-24 år;Mann;44.3;209;472
2024;Bøler;25-39 år;Begge kjønn;85.7;1493;1742
2024;Bøler;25-39 år;Kvinne;84.8;763;900
2024;Bøler;25-39 år;Mann;86.7;730;842
2024;Bøler;40-49 år;Begge kjønn;86.4;1128;1306
2024;Bøler;40-49 år;Kvinne;85.6;578;675
2024;Bøler;40-49 år;Mann;87.2;550;631
2024;Bøler;50-59 år;Begge kjønn;81.0;992;1224
2024;Bøler;50-59 år;Kvinne;79.8;526;659
2024;Bøler;50-59 år;Mann;82.5;466;565
2024;Bøler;60-74 år;Begge kjønn;43.0;493;1147
2024;Bøler;60-74 år;Kvinne;36.4;212;582
2024;Bøler;60-74 år;Mann;49.7;281;565
2024;Skullerud;Alder i alt;Begge kjønn;65.8;3701;5621
2024;Skullerud;Alder i alt;Kvinne;64.6;1850;2864
2024;Skullerud;Alder i alt;Mann;67.1;1851;2757
2024;Skullerud;15-24 år;Begge kjønn;52.4;381;727
2024;Skullerud;15-24 år;Kvinne;56.4;186;330
2024;Skullerud;15-24 år;Mann;49.1;195;397
2024;Skullerud;25-39 år;Begge kjønn;79.3;1326;1673
2024;Skullerud;25-39 år;Kvinne;79.0;668;846
2024;Skullerud;25-39 år;Mann;79.6;658;827
2024;Skullerud;40-49 år;Begge kjønn;76.9;801;1041
2024;Skullerud;40-49 år;Kvinne;76.2;425;558
2024;Skullerud;40-49 år;Mann;77.8;376;483
2024;Skullerud;50-59 år;Begge kjønn;73.9;749;1013
2024;Skullerud;50-59 år;Kvinne;69.4;361;520
2024;Skullerud;50-59 år;Mann;78.7;388;493
2024;Skullerud;60-74 år;Begge kjønn;38.0;444;1167
2024;Skullerud;60-74 år;Kvinne;34.4;210;610
2024;Skullerud;60-74 år;Mann;42.0;234;557
2024;Abildsø;Alder i alt;Begge kjønn;71.5;2093;2928
2024;Abildsø;Alder i alt;Kvinne;69.5;1014;1460
2024;Abildsø;Alder i alt;Mann;73.5;1079;1468
2024;Abildsø;15-24 år;Begge kjønn;47.0;238;506
2024;Abildsø;15-24 år;Kvinne;51.1;121;237
2024;Abildsø;15-24 år;Mann;43.5;117;269
2024;Abildsø;25-39 år;Begge kjønn;83.2;578;695
2024;Abildsø;25-39 år;Kvinne;80.8;291;360
2024;Abildsø;25-39 år;Mann;85.7;287;335
2024;Abildsø;40-49 år;Begge kjønn;86.5;583;674
2024;Abildsø;40-49 år;Kvinne;84.3;289;343
2024;Abildsø;40-49 år;Mann;88.8;294;331
2024;Abildsø;50-59 år;Begge kjønn;84.8;457;539
2024;Abildsø;50-59 år;Kvinne;82.1;224;273
2024;Abildsø;50-59 år;Mann;87.6;233;266
2024;Abildsø;60-74 år;Begge kjønn;46.1;237;514
2024;Abildsø;60-74 år;Kvinne;36.0;89;247
2024;Abildsø;60-74 år;Mann;55.4;148;267
2024;Ljan;Alder i alt;Begge kjønn;70.8;3169;4479
2024;Ljan;Alder i alt;Kvinne;68.9;1568;2275
2024;Ljan;Alder i alt;Mann;72.6;1601;2204
2024;Ljan;15-24 år;Begge kjønn;46.1;331;718
2024;Ljan;15-24 år;Kvinne;47.6;171;359
2024;Ljan;15-24 år;Mann;44.6;160;359
2024;Ljan;25-39 år;Begge kjønn;80.4;802;997
