aargang;geografi;geografi.1;kjoenn;aldersgrupper;sysselsatte;andeler;befolkning
2024;1401;Ljan;Begge kjønn;50-59 år;730;86.8;841
2024;1401;Ljan;Begge kjønn;60 -74 år;545;52.0;1049
2024;1402;Nordstrand;Begge kjønn;15-24 år;443;51.3;864
2024;1402;Nordstrand;Begge kjønn;25-39 år;1031;81.1;1272
2024;1402;Nordstrand;Begge kjønn;40-49 år;990;87.4;1133
2024;1402;Nordstrand;Begge kjønn;50-59 år;941;85.1;1106
2024;1402;Nordstrand;Begge kjønn;60 -74 år;665;46.8;1420
2024;1403;Bekkelaget;Begge kjønn;15-24 år;642;47.4;1354
2024;1403;Bekkelaget;Begge kjønn;25-39 år;1263;80.3;1572
2024;1403;Bekkelaget;Begge kjønn;40-49 år;1314;90.4;1454
2024;1403;Bekkelaget;Begge kjønn;50-59 år;1387;89.0;1558
2024;1403;Bekkelaget;Begge kjønn;60 -74 år;897;52.0;1726
2024;1404;Simensbråten;Begge kjønn;15-24 år;554;44.7;1238
2024;1404;Simensbråten;Begge kjønn;25-39 år;1560;82.3;1895
2024;1404;Simensbråten;Begge kjønn;40-49 år;1470;88.0;1671
2024;1404;Simensbråten;Begge kjønn;50-59 år;1137;84.4;1347
2024;1404;Simensbråten;Begge kjønn;60 -74 år;574;48.8;1176
2024;1405;Lambertseter;Begge kjønn;15-24 år;460;52.6;874
2024;1405;Lambertseter;Begge kjønn;25-39 år;2984;87.9;3396
2024;1405;Lambertseter;Begge kjønn;40-49 år;1189;82.2;1447
2024;1405;Lambertseter;Begge kjønn;50-59 år;927;76.2;1216
2024;1405;Lambertseter;Begge kjønn;60 -74 år;531;36.5;1454
2024;1406;Munkerud;Begge kjønn;15-24 år;574;47.0;1221
2024;1406;Munkerud;Begge kjønn;25-39 år;1237;84.9;1457
2024;1406;Munkerud;Begge kjønn;40-49 år;1405;88.8;1582
2024;1406;Munkerud;Begge kjønn;50-59 år;1125;89.1;1263
2024;1406;Munkerud;Begge kjønn;60 -74 år;558;50.5;1105
2024;1501;Holmlia Syd;Begge kjønn;15-24 år;364;47.0;774
2024;1501;Holmlia Syd;Begge kjønn;25-39 år;850;70.6;1204
2024;1501;Holmlia Syd;Begge kjønn;40-49 år;612;71.5;856
2024;1501;Holmlia Syd;Begge kjønn;50-59 år;476;65.4;728
2024;1501;Holmlia Syd;Begge kjønn;60 -74 år;347;37.2;934
2024;1502;Holmlia Nord;Begge kjønn;15-24 år;315;46.9;672
2024;1502;Holmlia Nord;Begge kjønn;25-39 år;761;78.1;975
2024;1502;Holmlia Nord;Begge kjønn;40-49 år;674;80.7;835
2024;1502;Holmlia Nord;Begge kjønn;50-59 år;575;75.5;762
2024;1502;Holmlia Nord;Begge kjønn;60 -74 år;408;37.0;1102
2024;1503;Prinsdal;Begge kjønn;15-24 år;368;44.1;835
2024;1503;Prinsdal;Begge kjønn;25-39 år;828;68.3;1212
2024;1503;Prinsdal;Begge kjønn;40-49 år;662;72.2;917
2024;1503;Prinsdal;Begge kjønn;50-59 år;574;72.2;795
2024;1503;Prinsdal;Begge kjønn;60 -74 år;310;37.0;837
2024;1504;Bjørnerud;Begge kjønn;15-24 år;433;45.6;950
2024;1504;Bjørnerud;Begge kjønn;25-39 år;1104;70.7;1562
2024;1504;Bjørnerud;Begge kjønn;40-49 år;670;68.4;980
2024;1504;Bjørnerud;Begge kjønn;50-59 år;517;60.2;859
2024;1504;Bjørnerud;Begge kjønn;60 -74 år;297;31.6;939
2024;1505;Mortensrud;Begge kjønn;15-24 år;361;49.8;725
2024;1505;Mortensrud;Begge kjønn;25-39 år;717;73.7;973
2024;1505;Mortensrud;Begge kjønn;40-49 år;609;79.2;769
2024;1505;Mortensrud;Begge kjønn;50-59 år;586;77.1;760
2024;1505;Mortensrud;Begge kjønn;60 -74 år;377;41.7;905
2024;1506;Bjørndal;Begge kjønn;15-24 år;688;46.8;1469
2024;1506;Bjørndal;Begge kjønn;25-39 år;1306;67.3;1941
2024;1506;Bjørndal;Begge kjønn;40-49 år;846;66.5;1272
2024;1506;Bjørndal;Begge kjønn;50-59 år;788;65.7;1199
2024;1506;Bjørndal;Begge kjønn;60 -74 år;395;35.6;1111
2024;1601;Sentrum;Begge kjønn;15-24 år;229;73.6;311
2024;1601;Sentrum;Begge kjønn;25-39 år;642;79.3;810
2024;1601;Sentrum;Begge kjønn;40-49 år;122;64.2;190
2024;1601;Sentrum;Begge kjønn;50-59 år;62;60.2;103
2024;1601;Sentrum;Begge kjønn;60 -74 år;27;46.6;58
2024;1701;Marka;Begge kjønn;15-24 år;78;42.2;185
2024;1701;Marka;Begge kjønn;25-39 år;180;75.0;240
2024;1701;Marka;Begge kjønn;40-49 år;228;89.1;256
2024;1701;Marka;Begge kjønn;50-59 år;240;83.9;286
2024;1701;Marka;Begge kjønn;60 -74 år;188;52.8;356
2024;9999;Uten registrert adresse;Begge kjønn;15-24 år;46;21.8;211
2024;9999;Uten registrert adresse;Begge kjønn;25-39 år;133;22.2;600
2024;9999;Uten registrert adresse;Begge kjønn;40-49 år;103;25.9;398
2024;9999;Uten registrert adresse;Begge kjønn;50-59 år;78;30.1;259
2024;9999;Uten registrert adresse;Begge kjønn;60 -74 år;39;23.8;164
2024;102;Grønland;Begge kjønn;Alder i alt;5740;69.1;8306
2024;102;Grønland;Mann;Alder i alt;3278;71.1;4611
2024;102;Grønland;Kvinne;Alder i alt;2462;66.6;3695
2024;103;Enerhaugen;Begge kjønn;Alder i alt;4669;72.9;6401
2024;103;Enerhaugen;Mann;Alder i alt;2436;73.4;3318
2024;103;Enerhaugen;Kvinne;Alder i alt;2233;72.4;3083
2024;104;Nedre Tøyen;Begge kjønn;Alder i alt;3012;68.0;4427
2024;104;Nedre Tøyen;Mann;Alder i alt;1525;68.9;2214
2024;104;Nedre Tøyen;Kvinne;Alder i alt;1487;67.2;2213
2024;105;Kampen;Begge kjønn;Alder i alt;2474;74.0;3343
2024;105;Kampen;Mann;Alder i alt;1214;74.7;1625
2024;105;Kampen;Kvinne;Alder i alt;1260;73.3;1718
2024;106;Vålerenga;Begge kjønn;Alder i alt;3426;69.6;4925
2024;106;Vålerenga;Mann;Alder i alt;1686;67.4;2503
2024;106;Vålerenga;Kvinne;Alder i alt;1740;71.8;2422
2024;108;Kværnerbyen;Begge kjønn;Alder i alt;6504;78.0;8340
2024;108;Kværnerbyen;Mann;Alder i alt;3403;79.3;4293
2024;108;Kværnerbyen;Kvinne;Alder i alt;3101;76.6;4047
2024;109;Bispevika;Begge kjønn;Alder i alt;2791;76.4;3651
2024;109;Bispevika;Mann;Alder i alt;1534;77.7;1973
2024;109;Bispevika;Kvinne;Alder i alt;1257;74.9;1678
2024;110;Ensjø;Begge kjønn;Alder i alt;9124;81.8;11156
2024;110;Ensjø;Mann;Alder i alt;4705;83.5;5638
2024;110;Ensjø;Kvinne;Alder i alt;4419;80.1;5518
2024;111;Etterstad;Begge kjønn;Alder i alt;2478;71.8;3452
2024;111;Etterstad;Mann;Alder i alt;1218;74.8;1629
2024;111;Etterstad;Kvinne;Alder i alt;1260;69.1;1823
2024;201;Grünerløkka vest;Begge kjønn;Alder i alt;5572;72.5;7688
2024;201;Grünerløkka vest;Mann;Alder i alt;2988;73.2;4081
2024;201;Grünerløkka vest;Kvinne;Alder i alt;2584;71.6;3607
2024;202;Grünerløkka øst;Begge kjønn;Alder i alt;3696;76.5;4829
2024;202;Grünerløkka øst;Mann;Alder i alt;1833;76.1;2410
2024;202;Grünerløkka øst;Kvinne;Alder i alt;1863;77.0;2419
2024;203;Dælenenga;Begge kjønn;Alder i alt;3015;74.0;4076
2024;203;Dælenenga;Mann;Alder i alt;1541;73.4;2099
2024;203;Dælenenga;Kvinne;Alder i alt;1474;74.6;1977
2024;204;Rodeløkka;Begge kjønn;Alder i alt;6172;75.8;8147
2024;204;Rodeløkka;Mann;Alder i alt;3098;74.8;4141
2024;204;Rodeløkka;Kvinne;Alder i alt;3074;76.7;4006
2024;205;Sinsen;Begge kjønn;Alder i alt;6465;77.5;8342
2024;205;Sinsen;Mann;Alder i alt;3299;76.8;4294
2024;205;Sinsen;Kvinne;Alder i alt;3166;78.2;4048
2024;206;Sofienberg;Begge kjønn;Alder i alt;6726;78.4;8574
2024;206;Sofienberg;Mann;Alder i alt;3375;77.5;4357
2024;206;Sofienberg;Kvinne;Alder i alt;3351;79.5;4217
2024;208;Løren;Begge kjønn;Alder i alt;8254;78.9;10457
2024;208;Løren;Mann;Alder i alt;4202;79.9;5258
2024;208;Løren;Kvinne;Alder i alt;4052;77.9;5199
2024;209;Hasle;Begge kjønn;Alder i alt;3779;79.5;4754
2024;209;Hasle;Mann;Alder i alt;1844;80.7;2286
2024;209;Hasle;Kvinne;Alder i alt;1935;78.4;2468
2024;301;Iladalen;Begge kjønn;Alder i alt;6236;80.4;7757
2024;301;Iladalen;Mann;Alder i alt;3041;79.1;3845
2024;301;Iladalen;Kvinne;Alder i alt;3195;81.7;3912
2024;30101;Gamle Oslo;Begge kjønn;Alder i alt;40218;74.5;54001
2024;30101;Gamle Oslo;Mann;Alder i alt;20999;75.5;27804
2024;30101;Gamle Oslo;Kvinne;Alder i alt;19219;73.4;26197
2024;30102;Grünerløkka;Begge kjønn;Alder i alt;43679;76.8;56867
2024;30102;Grünerløkka;Mann;Alder i alt;22180;76.7;28926
2024;30102;Grünerløkka;Kvinne;Alder i alt;21499;76.9;27941
2024;30103;Sagene;Begge kjønn;Alder i alt;31207;77.2;40419
2024;30103;Sagene;Mann;Alder i alt;15123;76.7;19720
2024;30103;Sagene;Kvinne;Alder i alt;16084;77.7;20699
2024;30104;St.Hanshaugen;Begge kjønn;Alder i alt;26451;76.7;34471
2024;30104;St.Hanshaugen;Mann;Alder i alt;13340;76.5;17429
2024;30104;St.Hanshaugen;Kvinne;Alder i alt;13111;76.9;17042
2024;30105;Frogner;Begge kjønn;Alder i alt;37020;73.2;50542
2024;30105;Frogner;Mann;Alder i alt;18647;74.3;25089
2024;30105;Frogner;Kvinne;Alder i alt;18373;72.2;25453
2024;30106;Ullern;Begge kjønn;Alder i alt;18610;71.8;25932
2024;30106;Ullern;Mann;Alder i alt;9290;73.0;12731
2024;30106;Ullern;Kvinne;Alder i alt;9320;70.6;13201
2024;30107;Vestre Aker;Begge kjønn;Alder i alt;26801;72.0;37208
2024;30107;Vestre Aker;Mann;Alder i alt;13279;73.0;18180
2024;30107;Vestre Aker;Kvinne;Alder i alt;13522;71.1;19028
2024;30108;Nordre Aker;Begge kjønn;Alder i alt;29567;71.2;41534
2024;30108;Nordre Aker;Mann;Alder i alt;14881;72.1;20633
2024;30108;Nordre Aker;Kvinne;Alder i alt;14686;70.3;20901
2024;30109;Bjerke;Begge kjønn;Alder i alt;19928;70.4;28313
2024;30109;Bjerke;Mann;Alder i alt;10371;72.2;14366
2024;30109;Bjerke;Kvinne;Alder i alt;9557;68.5;13947
2024;30110;Grorud;Begge kjønn;Alder i alt;13923;63.8;21813
2024;30110;Grorud;Mann;Alder i alt;7245;66.0;10971
2024;30110;Grorud;Kvinne;Alder i alt;6678;61.6;10842
2024;30111;Stovner;Begge kjønn;Alder i alt;15467;59.9;25842
2024;30111;Stovner;Mann;Alder i alt;8416;63.0;13355
2024;30111;Stovner;Kvinne;Alder i alt;7051;56.5;12487
2024;30112;Alna;Begge kjønn;Alder i alt;24391;63.4;38451
2024;30112;Alna;Mann;Alder i alt;12963;66.3;19552
2024;30112;Alna;Kvinne;Alder i alt;11428;60.5;18899
2024;30113;Østensjø;Begge kjønn;Alder i alt;27737;71.3;38902
2024;30113;Østensjø;Mann;Alder i alt;13836;72.7;19024
2024;30113;Østensjø;Kvinne;Alder i alt;13901;69.9;19878
2024;30114;Nordstrand;Begge kjønn;Alder i alt;29027;72.1;40280
2024;30114;Nordstrand;Mann;Alder i alt;14507;73.3;19780
2024;30114;Nordstrand;Kvinne;Alder i alt;14520;70.8;20500
2024;30115;Søndre Nordstrand;Begge kjønn;Alder i alt;17818;59.7;29852
2024;30115;Søndre Nordstrand;Mann;Alder i alt;9331;62.6;14902
2024;30115;Søndre Nordstrand;Kvinne;Alder i alt;8487;56.8;14950
2024;30116;Sentrum;Begge kjønn;Alder i alt;1082;73.5;1472
2024;30116;Sentrum;Mann;Alder i alt;628;74.2;846
2024;30116;Sentrum;Kvinne;Alder i alt;454;72.5;626
2024;30117;Marka;Begge kjønn;Alder i alt;914;69.1;1323
2024;30117;Marka;Mann;Alder i alt;487;72.5;672
2024;30117;Marka;Kvinne;Alder i alt;427;65.6;651
2024;30199;Uten registrert adresse;Begge kjønn;Alder i alt;399;24.4;1632
2024;30199;Uten registrert adresse;Mann;Alder i alt;286;25.2;1136
2024;30199;Uten registrert adresse;Kvinne;Alder i alt;113;22.8;496
2024;302;Sagene;Begge kjønn;Alder i alt;4099;78.8;5200
2024;302;Sagene;Mann;Alder i alt;1883;79.5;2370
2024;302;Sagene;Kvinne;Alder i alt;2216;78.3;2830
2024;303;Bjølsen;Begge kjønn;Alder i alt;4978;74.2;6707
2024;303;Bjølsen;Mann;Alder i alt;2352;73.5;3200
2024;303;Bjølsen;Kvinne;Alder i alt;2626;74.9;3507
2024;304;Sandaker;Begge kjønn;Alder i alt;9004;78.5;11474
2024;304;Sandaker;Mann;Alder i alt;4484;79.4;5645
2024;304;Sandaker;Kvinne;Alder i alt;4520;77.5;5829
2024;305;Torshov;Begge kjønn;Alder i alt;6890;74.2;9281
2024;305;Torshov;Mann;Alder i alt;3363;72.2;4660
2024;305;Torshov;Kvinne;Alder i alt;3527;76.3;4621
2024;401;Hammersborg;Begge kjønn;Alder i alt;5932;75.8;7821
2024;401;Hammersborg;Mann;Alder i alt;3272;75.1;4355
2024;401;Hammersborg;Kvinne;Alder i alt;2660;76.7;3466
2024;402;Bislett;Begge kjønn;Alder i alt;6719;79.5;8455
2024;402;Bislett;Mann;Alder i alt;3310;79.3;4176
2024;402;Bislett;Kvinne;Alder i alt;3409;79.7;4279
2024;403;Ila;Begge kjønn;Alder i alt;6344;78.1;8125
2024;403;Ila;Mann;Alder i alt;3085;77.9;3962
2024;403;Ila;Kvinne;Alder i alt;3259;78.3;4163
2024;404;Fagerborg;Begge kjønn;Alder i alt;3546;78.6;4513
2024;404;Fagerborg;Mann;Alder i alt;1719;79.0;2176
2024;404;Fagerborg;Kvinne;Alder i alt;1827;78.2;2337
2024;405;Lindern;Begge kjønn;Alder i alt;3910;70.4;5557
2024;405;Lindern;Mann;Alder i alt;1954;70.8;2760
2024;405;Lindern;Kvinne;Alder i alt;1956;69.9;2797
2024;501;Bygdøy;Begge kjønn;Alder i alt;1755;64.5;2721
2024;501;Bygdøy;Mann;Alder i alt;902;67.3;1340
2024;501;Bygdøy;Kvinne;Alder i alt;853;61.8;1381
2024;502;Frogner;Begge kjønn;Alder i alt;4089;72.1;5675
2024;502;Frogner;Mann;Alder i alt;2065;74.3;2778
2024;502;Frogner;Kvinne;Alder i alt;2024;69.9;2897
2024;503;Frognerparken;Begge kjønn;Alder i alt;4230;73.5;5753
2024;503;Frognerparken;Mann;Alder i alt;2074;75.8;2736
2024;503;Frognerparken;Kvinne;Alder i alt;2156;71.5;3017
2024;504;Majorstuen nord;Begge kjønn;Alder i alt;3425;73.6;4656
2024;504;Majorstuen nord;Mann;Alder i alt;1726;75.3;2292
2024;504;Majorstuen nord;Kvinne;Alder i alt;1699;71.9;2364
2024;505;Majorstuen syd;Begge kjønn;Alder i alt;6067;76.4;7938
2024;505;Majorstuen syd;Mann;Alder i alt;2978;75.6;3937
2024;505;Majorstuen syd;Kvinne;Alder i alt;3089;77.2;4001
2024;506;Homansbyen;Begge kjønn;Alder i alt;6988;74.5;9382
2024;506;Homansbyen;Mann;Alder i alt;3493;75.3;4639
2024;506;Homansbyen;Kvinne;Alder i alt;3495;73.7;4743
2024;507;Uranienborg;Begge kjønn;Alder i alt;4717;73.0;6465
2024;507;Uranienborg;Mann;Alder i alt;2339;73.5;3182
2024;507;Uranienborg;Kvinne;Alder i alt;2378;72.4;3283
2024;508;Skillebekk;Begge kjønn;Alder i alt;5749;72.3;7952
2024;508;Skillebekk;Mann;Alder i alt;3070;73.4;4185
2024;508;Skillebekk;Kvinne;Alder i alt;2679;71.1;3767
2024;601;Ullernåsen;Begge kjønn;Alder i alt;3451;71.3;4837
2024;601;Ullernåsen;Mann;Alder i alt;1712;73.6;2327
2024;601;Ullernåsen;Kvinne;Alder i alt;1739;69.3;2510
2024;602;Lilleaker;Begge kjønn;Alder i alt;3058;72.2;4234
2024;602;Lilleaker;Mann;Alder i alt;1522;72.6;2096
2024;602;Lilleaker;Kvinne;Alder i alt;1536;71.8;2138
2024;603;Ullern;Begge kjønn;Alder i alt;3005;70.0;4293
2024;603;Ullern;Mann;Alder i alt;1526;70.3;2171
2024;603;Ullern;Kvinne;Alder i alt;1479;69.7;2122
2024;604;Montebello-Hoff;Begge kjønn;Alder i alt;4579;73.2;6256
2024;604;Montebello-Hoff;Mann;Alder i alt;2306;74.0;3116
2024;604;Montebello-Hoff;Kvinne;Alder i alt;2273;72.4;3140
2024;605;Skøyen;Begge kjønn;Alder i alt;4517;71.6;6312
2024;605;Skøyen;Mann;Alder i alt;2224;73.6;3021
2024;605;Skøyen;Kvinne;Alder i alt;2293;69.7;3291
2024;701;Røa;Begge kjønn;Alder i alt;5866;73.2;8017
2024;701;Røa;Mann;Alder i alt;2944;74.2;3970
2024;701;Røa;Kvinne;Alder i alt;2922;72.2;4047
2024;702;Holmenkollen;Begge kjønn;Alder i alt;4773;70.7;6750
2024;702;Holmenkollen;Mann;Alder i alt;2358;71.4;3304
2024;702;Holmenkollen;Kvinne;Alder i alt;2415;70.1;3446
2024;703;Hovseter;Begge kjønn;Alder i alt;3869;71.0;5446
2024;703;Hovseter;Mann;Alder i alt;1897;73.5;2580
2024;703;Hovseter;Kvinne;Alder i alt;1972;68.8;2866
2024;704;Holmen;Begge kjønn;Alder i alt;3180;74.0;4295
2024;704;Holmen;Mann;Alder i alt;1551;73.9;2099
2024;704;Holmen;Kvinne;Alder i alt;1629;74.2;2196
2024;705;Slemdal;Begge kjønn;Alder i alt;3786;71.5;5295
2024;705;Slemdal;Mann;Alder i alt;1889;72.2;2617
2024;705;Slemdal;Kvinne;Alder i alt;1897;70.8;2678
2024;706;Grimelund;Begge kjønn;Alder i alt;2674;73.6;3634
2024;706;Grimelund;Mann;Alder i alt;1346;74.9;1796
2024;706;Grimelund;Kvinne;Alder i alt;1328;72.3;1838
2024;707;Vinderen;Begge kjønn;Alder i alt;2653;70.4;3771
2024;707;Vinderen;Mann;Alder i alt;1294;71.3;1814
2024;707;Vinderen;Kvinne;Alder i alt;1359;69.4;1957
2024;801;Disen;Begge kjønn;Alder i alt;2692;74.2;3630
2024;801;Disen;Mann;Alder i alt;1304;74.3;1754
2024;801;Disen;Kvinne;Alder i alt;1388;74.0;1876
2024;802;Myrer;Begge kjønn;Alder i alt;3136;71.1;4412
2024;802;Myrer;Mann;Alder i alt;1573;71.7;2194
2024;802;Myrer;Kvinne;Alder i alt;1563;70.5;2218
2024;803;Grefsen;Begge kjønn;Alder i alt;3863;72.4;5336
2024;803;Grefsen;Mann;Alder i alt;1971;73.1;2698
2024;803;Grefsen;Kvinne;Alder i alt;1892;71.7;2638
2024;804;Kjelsås;Begge kjønn;Alder i alt;3565;76.0;4693
2024;804;Kjelsås;Mann;Alder i alt;1784;75.5;2362
2024;804;Kjelsås;Kvinne;Alder i alt;1781;76.4;2331
2024;805;Korsvoll;Begge kjønn;Alder i alt;3009;71.6;4202
2024;805;Korsvoll;Mann;Alder i alt;1531;72.5;2111
2024;805;Korsvoll;Kvinne;Alder i alt;1478;70.7;2091
2024;806;Tåsen;Begge kjønn;Alder i alt;4833;74.6;6476
2024;806;Tåsen;Mann;Alder i alt;2471;75.0;3294
2024;806;Tåsen;Kvinne;Alder i alt;2362;74.2;3182
2024;807;Nordberg;Begge kjønn;Alder i alt;4741;63.1;7513
2024;807;Nordberg;Mann;Alder i alt;2371;65.6;3615
2024;807;Nordberg;Kvinne;Alder i alt;2370;60.8;3898
2024;808;Ullevål hageby;Begge kjønn;Alder i alt;3728;70.7;5272
2024;808;Ullevål hageby;Mann;Alder i alt;1876;72.0;2605
2024;808;Ullevål hageby;Kvinne;Alder i alt;1852;69.4;2667
2024;901;Veitvet;Begge kjønn;Alder i alt;3339;65.2;5119
2024;901;Veitvet;Mann;Alder i alt;1791;68.6;2611
2024;901;Veitvet;Kvinne;Alder i alt;1548;61.7;2508
2024;902;Linderud;Begge kjønn;Alder i alt;4586;70.8;6480
2024;902;Linderud;Mann;Alder i alt;2414;74.0;3264
2024;902;Linderud;Kvinne;Alder i alt;2172;67.5;3216
2024;904;Årvoll;Begge kjønn;Alder i alt;5118;74.9;6836
2024;904;Årvoll;Mann;Alder i alt;2466;75.6;3262
2024;904;Årvoll;Kvinne;Alder i alt;2652;74.2;3574
2024;905;Refstad;Begge kjønn;Alder i alt;3646;67.5;5404
2024;905;Refstad;Mann;Alder i alt;1960;67.7;2894
2024;905;Refstad;Kvinne;Alder i alt;1686;67.2;2510
2024;906;Ulven;Begge kjønn;Alder i alt;3239;72.4;4474
2024;906;Ulven;Mann;Alder i alt;1740;74.5;2335
2024;906;Ulven;Kvinne;Alder i alt;1499;70.1;2139
2024;100000;Oslo i alt;Begge kjønn;Alder i alt;404239;71.1;568854
2024;100000;Oslo i alt;Mann;Alder i alt;205809;72.2;285116
2024;100000;Oslo i alt;Kvinne;Alder i alt;198430;69.9;283738
2024;1001;Ammerud;Begge kjønn;Alder i alt;3905;64.2;6079
2024;1001;Ammerud;Mann;Alder i alt;2021;65.6;3081
2024;1001;Ammerud;Kvinne;Alder i alt;1884;62.8;2998
2024;1002;Rødtvet;Begge kjønn;Alder i alt;1928;68.1;2831
2024;1002;Rødtvet;Mann;Alder i alt;993;70.4;1411
2024;1002;Rødtvet;Kvinne;Alder i alt;935;65.8;1420
2024;1003;Nordtvet;Begge kjønn;Alder i alt;2934;69.0;4255
2024;1003;Nordtvet;Mann;Alder i alt;1465;72.4;2024
2024;1003;Nordtvet;Kvinne;Alder i alt;1469;65.8;2231
2024;1004;Grorud;Begge kjønn;Alder i alt;2079;60.6;3431
2024;1004;Grorud;Mann;Alder i alt;1202;62.8;1913
2024;1004;Grorud;Kvinne;Alder i alt;877;57.8;1518
2024;1005;Romsås;Begge kjønn;Alder i alt;3077;59.0;5217
2024;1005;Romsås;Mann;Alder i alt;1564;61.5;2542
2024;1005;Romsås;Kvinne;Alder i alt;1513;56.6;2675
2024;1101;Vestli;Begge kjønn;Alder i alt;2957;54.3;5445
2024;1101;Vestli;Mann;Alder i alt;1664;59.1;2814
2024;1101;Vestli;Kvinne;Alder i alt;1293;49.1;2631
2024;1102;Fossum;Begge kjønn;Alder i alt;2008;49.9;4025
2024;1102;Fossum;Mann;Alder i alt;1134;54.2;2091
2024;1102;Fossum;Kvinne;Alder i alt;874;45.2;1934
2024;1103;Rommen;Begge kjønn;Alder i alt;1573;59.2;2655
2024;1103;Rommen;Mann;Alder i alt;843;63.9;1320
2024;1103;Rommen;Kvinne;Alder i alt;730;54.7;1335
2024;1104;Haugenstua;Begge kjønn;Alder i alt;1786;60.3;2963
2024;1104;Haugenstua;Mann;Alder i alt;951;63.7;1493
2024;1104;Haugenstua;Kvinne;Alder i alt;835;56.8;1470
2024;1105;Stovner;Begge kjønn;Alder i alt;2990;65.5;4567
2024;1105;Stovner;Mann;Alder i alt;1587;66.3;2394
2024;1105;Stovner;Kvinne;Alder i alt;1403;64.6;2173
2024;1106;Høybråten;Begge kjønn;Alder i alt;4153;67.1;6187
2024;1106;Høybråten;Mann;Alder i alt;2237;69.0;3243
2024;1106;Høybråten;Kvinne;Alder i alt;1916;65.1;2944
2024;1201;Furuset;Begge kjønn;Alder i alt;4600;56.9;8080
2024;1201;Furuset;Mann;Alder i alt;2535;60.7;4175
2024;1201;Furuset;Kvinne;Alder i alt;2065;52.9;3905
2024;1202;Ellingsrud;Begge kjønn;Alder i alt;3625;64.9;5584
2024;1202;Ellingsrud;Mann;Alder i alt;1939;69.2;2803
2024;1202;Ellingsrud;Kvinne;Alder i alt;1686;60.6;2781
2024;1203;Lindeberg;Begge kjønn;Alder i alt;3649;60.4;6043
2024;1203;Lindeberg;Mann;Alder i alt;1928;63.5;3035
2024;1203;Lindeberg;Kvinne;Alder i alt;1721;57.2;3008
2024;1204;Trosterud;Begge kjønn;Alder i alt;4274;62.2;6870
2024;1204;Trosterud;Mann;Alder i alt;2293;65.4;3506
2024;1204;Trosterud;Kvinne;Alder i alt;1981;58.9;3364
2024;1205;Hellerudtoppen;Begge kjønn;Alder i alt;1972;73.2;2695
2024;1205;Hellerudtoppen;Mann;Alder i alt;1005;74.0;1359
2024;1205;Hellerudtoppen;Kvinne;Alder i alt;967;72.4;1336
2024;1206;Tveita;Begge kjønn;Alder i alt;2920;67.4;4330
2024;1206;Tveita;Mann;Alder i alt;1513;69.7;2170
2024;1206;Tveita;Kvinne;Alder i alt;1407;65.1;2160
2024;1207;Teisen;Begge kjønn;Alder i alt;3351;69.1;4849
2024;1207;Teisen;Mann;Alder i alt;1750;69.9;2504
2024;1207;Teisen;Kvinne;Alder i alt;1601;68.3;2345
2024;1301;Manglerud;Begge kjønn;Alder i alt;6221;72.5;8580
2024;1301;Manglerud;Mann;Alder i alt;3119;74.2;4201
2024;1301;Manglerud;Kvinne;Alder i alt;3102;70.8;4379
2024;1302;Godlia;Begge kjønn;Alder i alt;4842;70.3;6888
2024;1302;Godlia;Mann;Alder i alt;2509;71.7;3499
2024;1302;Godlia;Kvinne;Alder i alt;2333;68.8;3389
2024;1303;Oppsal;Begge kjønn;Alder i alt;6361;74.1;8579
2024;1303;Oppsal;Mann;Alder i alt;3042;75.6;4024
2024;1303;Oppsal;Kvinne;Alder i alt;3319;72.9;4555
2024;1304;Bøler;Begge kjønn;Alder i alt;4519;71.7;6306
2024;1304;Bøler;Mann;Alder i alt;2236;72.7;3075
2024;1304;Bøler;Kvinne;Alder i alt;2283;70.7;3231
2024;1305;Skullerud;Begge kjønn;Alder i alt;3701;65.8;5621
2024;1305;Skullerud;Mann;Alder i alt;1851;67.1;2757
2024;1305;Skullerud;Kvinne;Alder i alt;1850;64.6;2864
2024;1306;Abildsø;Begge kjønn;Alder i alt;2093;71.5;2928
2024;1306;Abildsø;Mann;Alder i alt;1079;73.5;1468
2024;1306;Abildsø;Kvinne;Alder i alt;1014;69.5;1460
2024;1401;Ljan;Begge kjønn;Alder i alt;3169;70.8;4479
2024;1401;Ljan;Mann;Alder i alt;1601;72.6;2204
2024;1401;Ljan;Kvinne;Alder i alt;1568;68.9;2275
2024;1402;Nordstrand;Begge kjønn;Alder i alt;4070;70.2;5795
2024;1402;Nordstrand;Mann;Alder i alt;2051;72.3;2836
2024;1402;Nordstrand;Kvinne;Alder i alt;2019;68.2;2959
2024;1403;Bekkelaget;Begge kjønn;Alder i alt;5503;71.8;7664
2024;1403;Bekkelaget;Mann;Alder i alt;2794;73.3;3814
2024;1403;Bekkelaget;Kvinne;Alder i alt;2709;70.4;3850
2024;1404;Simensbråten;Begge kjønn;Alder i alt;5295;72.3;7327
2024;1404;Simensbråten;Mann;Alder i alt;2730;72.9;3745
2024;1404;Simensbråten;Kvinne;Alder i alt;2565;71.6;3582
2024;1405;Lambertseter;Begge kjønn;Alder i alt;6091;72.6;8387
2024;1405;Lambertseter;Mann;Alder i alt;2873;74.0;3884
2024;1405;Lambertseter;Kvinne;Alder i alt;3218;71.5;4503
2024;1406;Munkerud;Begge kjønn;Alder i alt;4899;73.9;6628
2024;1406;Munkerud;Mann;Alder i alt;2458;74.6;3297
