aargang;geografi;geografi.1;kjoenn;aldersgrupper;sysselsatte;andeler;befolkning
2024;604;Montebello-Hoff;Begge kjønn;15-24 år;400;48.7;821
2024;604;Montebello-Hoff;Begge kjønn;25-39 år;1715;85.2;2013
2024;604;Montebello-Hoff;Begge kjønn;40-49 år;913;84.5;1080
2024;604;Montebello-Hoff;Begge kjønn;50-59 år;870;84.1;1034
2024;604;Montebello-Hoff;Begge kjønn;60 -74 år;681;52.1;1308
2024;605;Skøyen;Begge kjønn;15-24 år;405;42.6;950
2024;605;Skøyen;Begge kjønn;25-39 år;1511;84.2;1794
2024;605;Skøyen;Begge kjønn;40-49 år;936;85.2;1098
2024;605;Skøyen;Begge kjønn;50-59 år;965;88.1;1095
2024;605;Skøyen;Begge kjønn;60 -74 år;700;50.9;1375
2024;701;Røa;Begge kjønn;15-24 år;606;44.0;1376
2024;701;Røa;Begge kjønn;25-39 år;1828;84.7;2158
2024;701;Røa;Begge kjønn;40-49 år;1396;88.1;1584
2024;701;Røa;Begge kjønn;50-59 år;1287;88.6;1452
2024;701;Røa;Begge kjønn;60 -74 år;749;51.8;1447
2024;702;Holmenkollen;Begge kjønn;15-24 år;445;42.7;1042
2024;702;Holmenkollen;Begge kjønn;25-39 år;1263;83.5;1512
2024;702;Holmenkollen;Begge kjønn;40-49 år;1178;87.8;1341
2024;702;Holmenkollen;Begge kjønn;50-59 år;1068;85.7;1246
2024;702;Holmenkollen;Begge kjønn;60 -74 år;819;50.9;1609
2024;703;Hovseter;Begge kjønn;15-24 år;324;40.6;799
2024;703;Hovseter;Begge kjønn;25-39 år;1487;84.8;1754
2024;703;Hovseter;Begge kjønn;40-49 år;952;86.4;1102
2024;703;Hovseter;Begge kjønn;50-59 år;716;80.7;887
2024;703;Hovseter;Begge kjønn;60 -74 år;390;43.1;904
2024;704;Holmen;Begge kjønn;15-24 år;307;45.6;673
2024;704;Holmen;Begge kjønn;25-39 år;935;87.1;1074
2024;704;Holmen;Begge kjønn;40-49 år;822;87.6;938
2024;704;Holmen;Begge kjønn;50-59 år;657;87.4;752
2024;704;Holmen;Begge kjønn;60 -74 år;459;53.5;858
2024;705;Slemdal;Begge kjønn;15-24 år;367;41.8;878
2024;705;Slemdal;Begge kjønn;25-39 år;1106;80.3;1377
2024;705;Slemdal;Begge kjønn;40-49 år;985;87.4;1127
2024;705;Slemdal;Begge kjønn;50-59 år;741;85.8;864
2024;705;Slemdal;Begge kjønn;60 -74 år;587;56.0;1049
2024;706;Grimelund;Begge kjønn;15-24 år;270;43.6;619
2024;706;Grimelund;Begge kjønn;25-39 år;852;82.4;1034
2024;706;Grimelund;Begge kjønn;40-49 år;636;88.3;720
2024;706;Grimelund;Begge kjønn;50-59 år;536;88.0;609
2024;706;Grimelund;Begge kjønn;60 -74 år;380;58.3;652
2024;707;Vinderen;Begge kjønn;15-24 år;287;42.7;672
2024;707;Vinderen;Begge kjønn;25-39 år;779;80.1;973
